sample_id,specimen_id,Status
42,15,AFSC Freezer
43,15,AFSC Freezer
44,15,AFSC Freezer
45,15,AFSC Freezer
48,16,AFSC Freezer
50,16,AFSC Freezer
51,16,AFSC Freezer
54,17,AFSC Freezer
55,17,AFSC Freezer
56,17,AFSC Freezer
57,17,AFSC Freezer
60,18,AFSC Freezer
61,18,AFSC Freezer
62,18,AFSC Freezer
100,31,AFSC Freezer
101,32,AFSC Freezer
102,32,AFSC Freezer
103,33,AFSC Freezer
104,33,AFSC Freezer
108,34,AFSC Freezer
109,34,AFSC Freezer
111,35,AFSC Freezer
112,35,AFSC Freezer
114,36,AFSC Freezer
115,36,AFSC Freezer
117,37,AFSC Freezer
118,38,AFSC Freezer
119,39,AFSC Freezer
123,40,AFSC Freezer
124,41,AFSC Freezer
125,42,AFSC Freezer
126,43,AFSC Freezer
127,44,AFSC Freezer
128,45,AFSC Freezer
135,46,AFSC Freezer
137,47,AFSC Freezer
139,48,LLNL Layer Soln
140,48,AFSC Freezer
142,49,ARL Layer Soln
143,49,AFSC Freezer
145,50,AFSC Freezer
146,50,AFSC Freezer
148,52,AFSC Freezer
149,52,AFSC Freezer
151,31,AFSC Freezer
153,53,AFSC Freezer
154,53,AFSC Freezer
160,56,LLNL Layer Soln
161,56,AFSC Freezer
163,57,AFSC Freezer
164,57,AFSC Freezer
173,60,AFSC Freezer
174,60,AFSC Freezer
176,61,AFSC Freezer
177,61,AFSC Freezer
179,62,AFSC Freezer
180,62,AFSC Freezer
182,63,AFSC Freezer
183,63,AFSC Freezer
185,64,AFSC Freezer
186,64,AFSC Freezer
188,65,AFSC Freezer
189,65,AFSC Freezer
191,66,AFSC Freezer
192,66,AFSC Freezer
194,67,AFSC Freezer
195,67,AFSC Freezer
197,68,AFSC Freezer
198,68,AFSC Freezer
200,69,AFSC Freezer
201,69,AFSC Freezer
203,70,AFSC Freezer
204,70,AFSC Freezer
206,71,AFSC Freezer
207,71,AFSC Freezer
209,72,AFSC Freezer
210,72,AFSC Freezer
212,73,AFSC Freezer
213,73,AFSC Freezer
215,74,AFSC Freezer
216,74,AFSC Freezer
218,75,AFSC Freezer
219,75,AFSC Freezer
221,76,AFSC Freezer
222,76,AFSC Freezer
224,77,AFSC Freezer
225,77,AFSC Freezer
227,78,AFSC Freezer
228,78,AFSC Freezer
230,79,AFSC Freezer
231,79,AFSC Freezer
233,80,AFSC Freezer
234,80,AFSC Freezer
236,81,AFSC Freezer
238,82,AFSC Freezer
240,83,AFSC Freezer
242,84,AFSC Freezer
244,85,AFSC Freezer
246,86,AFSC Freezer
248,87,AFSC Freezer
249,87,AFSC Freezer
251,88,ARC Layer Soln
253,89,AFSC Freezer
254,89,AFSC Freezer
256,90,AFSC Freezer
257,90,AFSC Freezer
259,91,AFSC Freezer
260,91,AFSC Freezer
262,92,AFSC Freezer
263,92,AFSC Freezer
265,93,AFSC Freezer
267,94,AFSC Freezer
268,94,AFSC Freezer
270,95,AFSC Freezer
271,95,AFSC Freezer
273,96,AFSC Freezer
275,97,AFSC Freezer
276,97,AFSC Freezer
278,98,AFSC Freezer
280,99,AFSC Freezer
281,99,AFSC Freezer
283,100,AFSC Freezer
284,100,AFSC Freezer
286,101,AFSC Freezer
287,101,AFSC Freezer
289,102,AFSC Freezer
290,102,AFSC Freezer
292,103,AFSC Freezer
293,103,AFSC Freezer
295,104,AFSC Freezer
296,104,AFSC Freezer
298,105,AFSC Freezer
299,105,AFSC Freezer
301,106,AFSC Freezer
303,106,AFSC Freezer
304,107,AFSC Freezer
306,107,AFSC Freezer
307,108,AFSC Freezer
309,108,AFSC Freezer
310,109,LLNL Layer Soln
312,109,AFSC Freezer
313,110,AFSC Freezer
315,111,AFSC Freezer
317,111,AFSC Freezer
318,112,AFSC Freezer
320,112,AFSC Freezer
321,113,AFSC Freezer
323,113,AFSC Freezer
324,114,ARC Layer Soln
326,114,AFSC Freezer
327,115,AFSC Freezer
329,116,AFSC Freezer
331,117,AFSC Freezer
333,117,AFSC Freezer
334,118,AFSC Freezer
336,119,AFSC Freezer
338,119,AFSC Freezer
340,120,AFSC Freezer
342,121,AFSC Freezer
344,121,AFSC Freezer
345,122,AFSC Freezer
347,123,AFSC Freezer
349,124,AFSC Freezer
351,124,AFSC Freezer
352,125,AFSC Freezer
354,125,AFSC Freezer
355,126,AFSC Freezer
357,126,AFSC Freezer
358,127,AFSC Freezer
360,128,AFSC Freezer
362,128,AFSC Freezer
364,129,AFSC Freezer
366,129,AFSC Freezer
367,130,AFSC Freezer
369,130,AFSC Freezer
370,131,AFSC Freezer
372,131,AFSC Freezer
373,132,AFSC Freezer
375,132,AFSC Freezer
376,133,AFSC Freezer
378,133,AFSC Freezer
379,134,AFSC Freezer
380,135,AFSC Freezer
382,135,AFSC Freezer
383,136,AFSC Freezer
385,136,AFSC Freezer
386,137,AFSC Freezer
388,137,AFSC Freezer
389,138,AFSC Freezer
391,138,AFSC Freezer
392,139,AFSC Freezer
394,139,AFSC Freezer
395,140,AFSC Freezer
397,141,AFSC Freezer
398,142,AFSC Freezer
400,143,AFSC Freezer
402,144,AFSC Freezer
403,145,AFSC Freezer
405,145,AFSC Freezer
407,146,AFSC Freezer
409,146,AFSC Freezer
410,147,AFSC Freezer
412,147,AFSC Freezer
413,148,AFSC Freezer
415,149,AFSC Freezer
417,149,AFSC Freezer
418,118,AFSC Freezer
420,150,AFSC Freezer
422,150,AFSC Freezer
423,151,AFSC Freezer
424,152,AFSC Freezer
426,153,AFSC Freezer
428,153,AFSC Freezer
429,154,AFSC Freezer
431,155,AFSC Freezer
433,156,ARC Layer Soln
435,156,AFSC Freezer
439,157,ARC Layer Soln
441,158,AFSC Freezer
443,159,AFSC Freezer
445,159,ARC Layer Soln
446,160,AFSC Freezer
448,161,AFSC Freezer
450,162,AFSC Freezer
452,163,AFSC Freezer
454,164,AFSC Freezer
456,164,AFSC Freezer
457,165,ARC Layer Soln
458,165,AFSC Freezer
460,166,AFSC Freezer
462,167,AFSC Freezer
464,168,ARC Layer Soln
465,168,AFSC Freezer
467,157,AFSC Freezer
469,169,ARC Layer Soln
471,158,AFSC Freezer
473,170,AFSC Freezer
475,170,AFSC Freezer
476,171,AFSC Freezer
478,171,ARC Layer Soln
479,172,AFSC Freezer
481,173,AFSC Freezer
483,172,AFSC Freezer
485,174,AFSC Freezer
486,174,AFSC Freezer
488,175,AFSC Freezer
498,173,AFSC Freezer
500,182,AFSC Freezer
502,183,AFSC Freezer
504,184,AFSC Freezer
505,184,AFSC Freezer
507,185,AFSC Freezer
508,185,AFSC Freezer
516,186,AFSC Freezer
517,186,AFSC Freezer
519,187,AFSC Freezer
521,187,AFSC Freezer
522,188,AFSC Freezer
524,188,AFSC Freezer
525,152,AFSC Freezer
527,163,AFSC Freezer
529,110,AFSC Freezer
531,189,AFSC Freezer
533,189,AFSC Freezer
534,154,AFSC Freezer
536,155,AFSC Freezer
538,190,AFSC Freezer
540,190,AFSC Freezer
543,191,AFSC Freezer
544,191,AFSC Freezer
582,221,AFSC Freezer
583,221,AFSC Freezer
590,222,AFSC Freezer
591,222,AFSC Freezer
604,231,AFSC Freezer
605,231,AFSC Freezer
606,231,AFSC Freezer
607,231,AFSC Freezer
610,232,AFSC Freezer
611,232,AFSC Freezer
612,232,AFSC Freezer
613,232,AFSC Freezer
616,233,AFSC Freezer
617,233,AFSC Freezer
618,233,AFSC Freezer
619,233,AFSC Freezer
622,234,AFSC Freezer
623,234,AFSC Freezer
624,234,AFSC Freezer
664,259,AFSC Freezer
665,259,AFSC Freezer
668,262,AFSC Freezer
669,262,AFSC Freezer
670,263,AFSC Freezer
671,263,AFSC Freezer
672,264,AFSC Freezer
673,264,AFSC Freezer
674,265,AFSC Freezer
675,265,AFSC Freezer
676,266,ARC Layer Soln
677,266,AFSC Freezer
678,267,AFSC Freezer
679,268,AFSC Freezer
680,268,AFSC Freezer
681,269,AFSC Freezer
682,269,AFSC Freezer
683,270,AFSC Freezer
684,270,AFSC Freezer
685,271,AFSC Freezer
686,271,AFSC Freezer
687,272,AFSC Freezer
688,272,AFSC Freezer
689,273,AFSC Freezer
690,273,AFSC Freezer
691,274,AFSC Freezer
692,274,AFSC Freezer
706,275,AFSC Freezer
707,275,AFSC Freezer
708,276,AFSC Freezer
709,276,AFSC Freezer
710,277,AFSC Freezer
711,277,AFSC Freezer
712,278,AFSC Freezer
713,278,AFSC Freezer
714,279,AFSC Freezer
715,279,AFSC Freezer
716,280,AFSC Freezer
717,280,AFSC Freezer
718,281,AFSC Freezer
719,281,AFSC Freezer
720,282,AFSC Freezer
721,283,AFSC Freezer
722,283,AFSC Freezer
723,284,AFSC Freezer
724,284,AFSC Freezer
725,285,AFSC Freezer
726,285,AFSC Freezer
727,286,AFSC Freezer
728,286,AFSC Freezer
729,287,AFSC Freezer
730,287,AFSC Freezer
731,288,AFSC Freezer
732,289,AFSC Freezer
733,289,AFSC Freezer
734,290,AFSC Freezer
735,290,AFSC Freezer
736,291,AFSC Freezer
737,292,AFSC Freezer
738,292,AFSC Freezer
739,293,AFSC Freezer
740,293,AFSC Freezer
741,294,AFSC Freezer
742,295,AFSC Freezer
743,295,AFSC Freezer
744,296,AFSC Freezer
745,296,AFSC Freezer
746,297,AFSC Freezer
747,297,AFSC Freezer
748,298,AFSC Freezer
749,298,AFSC Freezer
750,299,LLNL Layer Soln
751,299,AFSC Freezer
752,300,AFSC Freezer
753,300,AFSC Freezer
754,301,AFSC Freezer
755,301,AFSC Freezer
756,302,AFSC Freezer
757,302,AFSC Freezer
758,303,AFSC Freezer
759,303,AFSC Freezer
760,304,AFSC Freezer
761,304,AFSC Freezer
762,305,AFSC Freezer
763,305,AFSC Freezer
764,306,AFSC Freezer
765,306,AFSC Freezer
766,307,AFSC Freezer
767,307,AFSC Freezer
768,308,AFSC Freezer
769,308,AFSC Freezer
770,309,AFSC Freezer
771,309,AFSC Freezer
772,310,AFSC Freezer
773,310,AFSC Freezer
774,311,AFSC Freezer
775,311,AFSC Freezer
776,312,AFSC Freezer
777,312,AFSC Freezer
778,313,AFSC Freezer
779,313,AFSC Freezer
780,314,AFSC Freezer
781,314,AFSC Freezer
