sample_id,sample_type,alternate_sample_id,specimen_id,species_common_name,species_scientific_name,length_cm,length_type,original_length_units,weight_kg,weight_type,original_weight_units,sex,maturity,alternate_specimen_id,haul_id,large_marine_ecosystem,haul_date_akt,haul_duration,capture_depth_m,noncon_lat,noncon_long,confidential_flag,gear_type,alternate_haul_id,haul_year,nmfs_area,fmp_subarea,source,contact,hauldat_complete
156,Head,OA2018016201 H,54,Pacific Sleeper Shark,Somniosus pacificus,89.5,Precaudal Length,centimeters,7.257472,Total,kilograms,M,NA,OA2018016201,48,SEAK,5/31/2018,NA,263.3472,58.14166667,-136.4533333,N,LL,1,2018,659,SEI,OceanAire_CharlieMason,Cindy Tribuzio,Y
158,Head,OA2018016202 H,55,Pacific Sleeper Shark,Somniosus pacificus,112,Precaudal Length,centimeters,11.113004,Total,kilograms,F,NA,OA2018016202,48,SEAK,5/31/2018,NA,263.3472,58.14166667,-136.4533333,N,LL,1,2018,659,SEI,OceanAire_CharlieMason,Cindy Tribuzio,Y
594,Head,PSS19_AKSRG,223,Pacific Sleeper Shark,Somniosus pacificus,96,Precaudal Length,centimeters,8.34,Total,kilograms,M,NA,PSS19_AKSRG,182,Bering Sea,8/12/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
595,Head,PSS51_AKSRG,224,Pacific Sleeper Shark,Somniosus pacificus,94,Precaudal Length,centimeters,10.96,Total,kilograms,F,NA,PSS51_AKSRG,183,Bering Sea,7/28/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
596,Head,PSS18_AKSRG,225,Pacific Sleeper Shark,Somniosus pacificus,67,Precaudal Length,centimeters,2.6,Total,kilograms,F,NA,PSS18_AKSRG,184,Bering Sea,NA,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
597,Head,PSS25_AKSRG,226,Pacific Sleeper Shark,Somniosus pacificus,104,Precaudal Length,centimeters,10.42,Total,kilograms,M,NA,PSS25_AKSRG,185,Bering Sea,8/7/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
598,Head,PSS20_AKSRG,227,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,8.98,Total,kilograms,F,NA,PSS20_AKSRG,186,Bering Sea,8/17/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
599,Head,PSS14_AKSRG,228,Pacific Sleeper Shark,Somniosus pacificus,52,Precaudal Length,centimeters,1.38,Total,kilograms,M,NA,PSS14_AKSRG,187,Bering Sea,8/19/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
600,Head,PSS19_AKSRG,229,Pacific Sleeper Shark,Somniosus pacificus,96,Precaudal Length,centimeters,8.34,Total,kilograms,M,NA,PSS19_AKSRG,182,Bering Sea,8/12/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
601,Head,PSS46_AKSRG,230,Pacific Sleeper Shark,Somniosus pacificus,85,Precaudal Length,centimeters,5.72,Total,kilograms,M,NA,PSS46_AKSRG,188,Bering Sea,8/8/2019,NA,NA,NA,NA,Y,TWL,NA,2019,NA,EBS,AKSRG,Erica Aus,N
,Head,AFSCLLS_DF_24,,Spiny Dogfish,Squalus suckleyi,66,Precaudal Length,centimeters,,,,F,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_25,,Spiny Dogfish,Squalus suckleyi,66,Precaudal Length,centimeters,,,,M,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_26,,Spiny Dogfish,Squalus suckleyi,66,Precaudal Length,centimeters,,,,F,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_27,,Spiny Dogfish,Squalus suckleyi,65,Precaudal Length,centimeters,,,,M,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_28,,Spiny Dogfish,Squalus suckleyi,64,Precaudal Length,centimeters,,,,F,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_29,,Spiny Dogfish,Squalus suckleyi,64,Precaudal Length,centimeters,,,,F,,,,CGOA,8/7/2023,,,59.12666667,-148.65,,LL,121,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_30,,Spiny Dogfish,Squalus suckleyi,59,Precaudal Length,centimeters,,,,M,,,,CGOA,8/8/2023,,,59.08333333,-149.4,,LL,123,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_31,,Spiny Dogfish,Squalus suckleyi,67,Precaudal Length,centimeters,,,,M,,,,CGOA,8/8/2023,,,59.08333333,-149.4,,LL,123,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_32,,Spiny Dogfish,Squalus suckleyi,71,Precaudal Length,centimeters,,,,M,,,,CGOA,8/8/2023,,,59.08333333,-149.4,,LL,123,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
,Head,AFSCLLS_DF_33,,Spiny Dogfish,Squalus suckleyi,81,Precaudal Length,centimeters,,,,F,,,,CGOA,8/8/2023,,,59.08333333,-149.4,,LL,123,2023,630,CGOA,AFSC LL Survey,Cindy Tribuzio,N
